advisory_id,ecosystem,package_id,release_id,commit_count,file_count,loc_change,contributor_count,ifcve,severity,fix_to_release_delay
npm:zeroclipboard:20140131,npm,2842,857,3,5,52,1,cve,M,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORKINTEGRATION-32275,Maven,2316,5018,6,2,57,3,cve,M,0.0
npm:datatype-expansion:20180225,npm,2483,155,2,1,2,2,noncve,M,0.0
SNYK-GOLANG-GITHUBCOMOAUTH2PROXYOAUTH2PROXY-574792,Go,751,8734,105,86,9091,29,cve,M,0.0
npm:forms:20161116,npm,3416,294,20,15,952,4,cve,M,0.0
SNYK-GOLANG-GITHUBCOMUNKNWONCAEZIP-570383,Go,809,8756,13,9,89,2,cve,H,0.0
npm:marked:20140131-1,npm,588,471,15,3,131,10,cve,H,0.0
SNYK-JAVA-ORGCODEHAUSPLEXUS-31521,Maven,1616,4801,7,8,244,1,noncve,M,0.0
SNYK-PHP-BOLTBOLT-173767,Composer,67,7209,12,148,678,6,cve,H,0.0
npm:jsviews:20160320,npm,2550,413,1,12,6933,1,noncve,M,0.0
SNYK-PYTHON-INVENIOCOMMUNITIES-455847,pip,1724,1191,4,5,99,4,cve,M,0.0
SNYK-PHP-LARAVELFRAMEWORK-1069892,Composer,551,7488,22,15,400,8,noncve,M,0.0
SNYK-PYTHON-PARAMIKO-42086,pip,1710,1307,28,8,247,3,cve,H,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORKSECURITY-450242,Maven,33,4172,3,2,9,2,cve,H,0.0
SNYK-PYTHON-BLEACH-552160,pip,1198,1013,2,3,39,1,cve,M,0.0
SNYK-PYTHON-ANSIBLE-451465,pip,83,978,3,6,95,1,cve,H,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORK-30169,Maven,2690,5122,68,218,6173,8,cve,M,0.0
SNYK-RUBY-GEMINABOX-20437,RubyGems,2604,8221,2,3,5,1,cve,H,0.0
SNYK-PYTHON-YUBIAUTH-40644,pip,2636,1535,4,4,47,1,noncve,M,0.0
SNYK-PYTHON-CHERRYMUSIC-40361,pip,3078,1033,45,33,1361,6,cve,M,0.0
SNYK-JAVA-ORGSPRINGFRAMEWORK-30169,Maven,2690,5123,192,2344,29801,17,cve,M,0.0
SNYK-PHP-SYLIUSSYLIUS-536839,Composer,688,7593,23,4,302,5,cve,M,0.0
SNYK-PYTHON-REDDISCORDBOT-1023166,pip,694,1410,117,112,8776,34,cve,M,0.0
SNYK-PHP-TYPO3CMS-538238,Composer,272,7368,138,243,7800,53,noncve,M,0.0
SNYK-PYTHON-OWLMIXIN-40706,pip,2580,1300,2,3,47,1,cve,H,0.0
SNYK-PYTHON-PARAMIKO-42086,pip,1710,1306,29,8,245,3,cve,H,0.0
SNYK-PHP-CAKEPHPCAKEPHP-70007,Composer,1930,7848,6,7,94,3,noncve,H,0.0
SNYK-PHP-AMPHPARTAX-70002,Composer,2990,8030,2,3,35,2,cve,H,0.0
npm:zeroclipboard:20120528,npm,2842,856,7,6,111,1,cve,M,0.0
SNYK-PHP-AMPHPARTAX-70001,Composer,2990,8028,3,8,299,1,noncve,M,0.0
SNYK-JS-LIBNMAP-72551,npm,3559,443,3,0,0,1,cve,M,0.0
SNYK-GOLANG-GITHUBCOMPTERODACTYLWINGSROUTERDOWNLOADER-1056514,Go,3885,8883,9,9,337,4,noncve,H,0.0
SNYK-JS-MINIMIST-559764,npm,1236,494,3,2,46,1,cve,M,0.0
SNYK-PYTHON-KNACK-450215,pip,1789,1215,4,7,49,4,noncve,H,0.0
SNYK-JAVA-ORGWEBJARSNPM-480014,Maven,2588,5091,6,13,536,2,noncve,M,0.0
SNYK-PHP-PERSONNUMMERPERSONNUMMER-674154,Composer,478,7449,6,1,11,2,noncve,M,0.0
SNYK-PYTHON-AIOHTTP-40582,pip,6,958,10,3,65,2,noncve,M,0.0
SNYK-GOLANG-GITHUBCOMLABSTACKECHOMIDDLEWARE-1072475,Go,18,8596,130,51,11813,52,noncve,M,0.0
SNYK-JAVA-IONETTY-1082238,Maven,3922,5429,39,86,2979,9,cve,M,0.0
SNYK-RUBY-GEOCODER-543302,RubyGems,1304,5507,7,3,34,2,cve,H,0.0
SNYK-GOLANG-GITHUBCOMORYFOSITEHANDLEROAUTH2-1012739,Go,452,8677,10,42,430,4,cve,H,0.0
SNYK-JS-WEBPACKBUNDLEANALYZER-174190,npm,1964,831,2,1,18,1,noncve,M,0.0
